Title,PositiveReview,NegativeReview,Score,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse,CharacterLenTitle,CharacterLenPropertyResponse,CharacterLenPositive,CharacterLenNegative,Score2,PropertyResponseYesOrNo,CLT_bins,CLP_bins,CLN_bins
"The accommodation was reasonable for the price, suitable for sleeping after arrival, the evening walk to salt lake was also great, but definitely","pleasant accommodation, helpful reception, cleanliness",the rooms were not soundproofed enough,8.0,Slovakia,Standard Triple Room,1,2022-11-01,Family,,293,0,54,38,8.0,No,5,5,4
Two day stay,"The staff are extremely friendly and always happy to help when needed. They were always ready to answer any of our questions. In a very good location, close to the airport, especially if you have an early or late flight, and also close to the beach.","The main reason for not giving the highest rating is the noise. From the neighboring hotels/houses, they showered at any time of the day and made unpleasant noise. There were problems with the sealing and closing of the window.",9.0,Bulgaria,Two-Bedroom Suite,2,2022-09-01,Group,,27,0,249,227,9.0,No,3,5,5
Very good,"Nice room, very clean.
Convenient because close to the airport.
Very kind and helpful staff.
We had dinner in the evening, it was very good.","Just a bit far from town
Room a bit small",8.0,France,Double Room,1,2022-11-01,Family,,21,0,140,41,8.0,No,3,5,5
Exceptional,"Very kind staff. Delicious food, impeccable cleanliness.
Thank you!",,10.0,Romania,Double Room,1,2022-11-01,Family,,25,0,67,0,10.0,No,3,5,1
Wonderful,"The room was very clean and very spacious.
The mattresses and pillows were excellent.",The only thing that was slightly flawed was the water in the shower in the evening which was lukewarm,9.0,Israel,Double Room with Balcony,1,2022-11-01,Family,,21,0,85,101,9.0,No,3,5,5
Super,Pleasant staff,,10.0,France,Double Room with Balcony,1,2022-11-01,Family,,13,0,14,0,10.0,No,2,2,1
I will continue emohfeke,Everything was great!,,10.0,Austria,Budget Twin Room,3,2022-10-01,Group,,51,0,21,0,10.0,No,5,3,1
Good address,"nice and comfortable small room. Early November: good availability of free parking spaces at the bottom of the hotel. The beach is 10 minutes walk, the airport 10 minutes by bus. Friendly staff and very good advice",,9.0,France,Double Room,1,2022-11-01,Solo,,27,0,214,0,9.0,No,3,5,1
Excellent for early starts! very available staff,Proximity to the airport and excellent cuisine,Nothing,10.0,Belgium,Family Suite with Balcony,1,2022-11-01,Family,,99,0,46,7,10.0,No,5,5,1
Nice little hotel,"Practical rooms, balconies in each room. good location for the airport. Listening staff.",The noise. The rooms are poorly soundproofed. We hear the neighbors moving.,8.0,France,Two-Bedroom Suite,1,2022-10-01,Family,,37,0,88,75,8.0,No,4,5,5
Good hotel for a short night departing / arriving from the airport ... but no more,"Hotel near the airport, ideal for a late arrival or a very early departure","bed duvet much too thick, we suffocate underneath! Very hard bed
Noisy, due to the heavy use of tiling and the steady stream of travelers arriving/departing for the airport throughout the night.
Do not use this hotel other than for a stopover night near the airport",8.0,France,Standard Triple Room,2,2022-11-01,Family,,167,0,74,265,8.0,No,5,5,5
Exceptional,wonderful hotel and staff! all as in the photo!,,10.0,Russia,Double Room,2,2022-10-01,Solo,,25,0,47,0,10.0,No,3,5,1
Wonderful,"Very good accommodation in a perfect location, 7 minutes from the airport!",,9.0,Greece,Double Room,1,2022-10-01,Couple,,21,0,74,0,9.0,No,3,5,1
Nice place!,"Great location. 10 minutes by bus from and to the airport. 10 minutes walk to the beach and cafes by the beach. It takes 40 minutes to walk along the promenade to the city, but it's nice. The hotel is good, the staff is friendly.",,10.0,Israel,Family Suite with Balcony,2,2022-09-01,Family,,25,0,229,0,10.0,No,3,5,1
Great hotel close to the airport,"Great location close to the airport, friendly service and delicious breakfasts.",,9.0,Poland,Suite with Balcony,1,2022-10-01,Family,,67,0,79,0,9.0,No,5,5,1
"Nice and clean room, very friendly staff","we only stayed at the LaVeranda Hotel for one night as the end of our Cyprus trip to be as close to the airport as possible for the last night! It was perfect for that. The room was very nicely furnished and, above all, super clean. The bus connection to the city center was just around the corner and we were able to get back to the hotel later in the evening without any problems using public transport. The location was also perfect for the trip to the airport the next morning (7:00 am). Mackenzie Beach is super close and so are lots of cool bars and restaurants.",,9.0,Austria,Standard Triple Room,1,2022-10-01,Couple,,83,0,568,0,9.0,No,5,5,1
"Very practical, excellent welcome, and equally excellent quality of accommodation","Great welcome, very pleasant contact, very helpful","Access to the airport is close but not so easy with the bus, when you do not know",9.0,France,Double Room with Balcony,1,2022-10-01,Family,,165,0,50,81,9.0,No,5,5,5
Exceptional,everything is very good,,10.0,Ukraine,Double Room,1,2022-10-01,Couple,,25,0,23,0,10.0,Yes,3,3,1
Correct accommodation in corfu,The accommodation itself is very good. It is very central. The problem is finding it. It is located in an alley and google maps went crazy. Now I understand why they sent me a photo of how to locate the street.,"Surely it's not a problem with the accommodation, but the guests in the upper apartment didn't stop making noise at 3am and on the other hand, if you go by car, even though there is an open-air car park very close, it's a real odyssey to be able to park. We had to leave the car far away.",8.0,Spain,Two-Bedroom Suite,3,2022-09-01,Family,,63,0,210,288,8.0,No,5,5,5
,,,10.0,Israel,Standard Triple Room,1,2022-10-01,Family,,0,0,0,0,10.0,No,1,1,1
Excellent,"The hotel is very clean and close to the airport. Simple and comfortable rooms, you can see that there is care in the place.","The restaurant in the hotel lobby is good, although it took a relatively long time for our food to be ready.",9.0,Israel,Two-Bedroom Suite,1,2022-10-01,Family,,21,0,124,108,9.0,No,3,5,5
Exceptional,"nice, clean and neat. super sweet hosts",,10.0,Denmark,Double Room,2,2022-10-01,Family,,25,0,39,0,10.0,No,3,4,1
"We stopped for the night on a connecting flight. i was looking for a hotel close to the airport, an excellent choice. i highly recommend it","Close to the field, the staff is nice, the room is restful and pleasant, clean and renovated
The bed is comfortable and so is the shower","The environment is a bit unfriendly for walking, there is a lot of construction and the roads are bumpy",10.0,Israel,Double Room,1,2022-10-01,Family,,281,0,136,103,10.0,No,5,5,5
"A perfect boutique hotel
a perfect boutique hotel",Everything is a perfect boutique hotel,,10.0,Israel,Double Room with Balcony,3,2022-10-01,Group,,49,0,38,0,10.0,No,5,4,1
Very good,Breakfast was good,,8.0,Germany,Budget Twin Room,1,2022-09-01,Couple,,21,0,18,0,8.0,No,3,2,1
Optimal,"cleanliness, location, simple and modern furnishings but new like the whole structure",Nothing,9.0,Italy,Double Room with Balcony,1,2022-09-01,Solo,,17,0,85,7,9.0,No,2,5,1
A modern hotel near the airport at a great price.,"The hotel is very modernly furnished, the room is spacious enough with an above-standard large bathroom. We did not use the breakfast because of the early departure. The staff at the reception willingly arranged a ride to the airport for us.",We spent little time at the hotel to assess what could be improved. But we have a positive experience and will use it again next time.,9.0,Czech Republic,Double Room,1,2022-10-01,Couple,,101,0,241,134,9.0,No,5,5,5
Delightful!!,Everything nice,,9.0,Italy,Double Room with Balcony,2,2022-10-01,Couple,,27,0,15,0,9.0,No,3,2,1
"Great stay, highly recommended hotel","Excellent welcome, clean, quiet.
Hotel very well located for the airport.",,10.0,France,Double Room,1,2022-09-01,Solo,,75,0,73,0,10.0,No,5,5,1
One night near the airport on the way,"Proximity to the airport, clean and cheap","Cramped, the third bed for a child is more suitable for a baby, minimalist room accessories",8.0,Israel,Double Room,1,2022-10-01,Family,,77,0,41,91,8.0,No,5,5,5
"Comfortably close to the sea and the center on foot, both reachable",new clean reception,Nothing,10.0,Italy,Double Room,1,2022-10-01,Family,,137,0,19,7,10.0,No,5,2,1
Wonderful,"Excellent location on the way to/from Larnaca airport.
Warm and cordial hospitality",,9.0,Israel,Double Room with Balcony,1,2022-10-01,Family,,21,0,83,0,9.0,No,3,5,1
Excellent as a place to stay close to the airport,"The place is close to the airport and easy to get to.
We arrived late and the directions were clear and easy.
The place is clean and everything was exactly as expected
A short distance from the promenade where you can find nice restaurants on the beach",The room for 5 was very tight. Suitable for one night no more,8.0,Israel,Two-Bedroom Suite,1,2022-10-01,Family,,101,0,252,61,8.0,No,5,5,5
Exceptional,"Very clean hotel
Very kind staff
Very close to the airport",,10.0,Israel,Standard Triple Room,1,2022-10-01,Family,,25,0,58,0,10.0,No,3,5,1
Wonderful,"Very well-kept small hotel, with extraordinarily courteous hosts!
We'd love to come back!!",,9.0,Austria,Budget Twin Room,5,2022-09-01,Couple,,21,0,90,0,9.0,No,3,5,1
A suprise,friendliness of staff,,10.0,France,Double Room,1,2022-10-01,Solo,,21,0,21,0,10.0,No,3,3,1
Wonderful,"The manager very friendly, the hotel of very good quality",-,9.0,France,Double Room,1,2022-10-01,Couple,,21,0,57,1,9.0,Yes,3,5,1
Exceptional,clean close to the beach close to the field Intimate and quiet,,10.0,Israel,Standard Triple Room,3,2022-10-01,Family,,25,0,62,0,10.0,No,3,5,1
Hotel with unbeatable value for money and with a very pleasant welcome,Excellent welcome by the owner who speaks fluent French. Quiet hotel and extremely well located for the airport and Larnaca salt lake. Unbeatable value for money I think. Perfect and good dinner and lovely waiter. For a night of transit before our return to France it was perfect. Didn't have breakfast as we were leaving at 4am,,10.0,France,Budget Twin Room,1,2022-10-01,Family,,143,0,328,0,10.0,No,5,5,1
Very nice hotel with good value for money,"- Cleanliness
- Welcome
- Possibility of having breakfast on site, having a drink or a snack",- Nothing,10.0,France,Double Room with Balcony,1,2022-10-01,Family,,85,0,92,9,10.0,Yes,5,5,1
Wonderful,"Very clean, well organized, nothing missing, pleasant balcony, nice hosts, comfortable mattress.",The air conditioner does not cool enough,9.0,Israel,Double Room with Balcony,1,2022-10-01,Couple,,21,0,96,40,9.0,No,3,5,4
Exceptional,"Perfect hotel.welcoming and helpful staff.the room was spacious.and clean.the restaurant is very varied.as well as the location close to the airport and the beach as well as many restaurants and snacks.I will resell with pleasure.I recommend the hotel 100%. and I thank Tony for his welcome and his smile, it's so rare.",,10.0,France,Double Room with Balcony,2,2022-10-01,Family,,25,0,319,0,10.0,No,3,5,1
Nice small and clean hotel.,"Small beautiful clean room. They accommodated us with an earlier check-in and earlier check-out. There is no problem with a later check-in either. We had a small lunch here and it was delicious. Staff very nice. A short distance from the beach, we also found starfish. The hotel arranged a transfer to the airport for us.",,10.0,Czech Republic,Double Room,1,2022-09-01,Couple,,57,0,321,0,10.0,No,5,5,1
Exceptional,"The hotel is located close to Larnaca airport.
Very helpful staff, the room had everything you need, and also the bathroom.
Clean and cozy.",,10.0,Israel,Double Room,1,2022-09-01,Couple,,25,0,139,0,10.0,No,3,5,1
Very good,"Very friendly staff, good walking distance to Mackenzie Beach. We can highly recommend the breakfast offered.
Free parking in front of the hotel along the street.",,8.0,Germany,Double Room with Balcony,3,2022-08-01,Group,,21,0,162,0,8.0,No,3,5,1
Exceptional,It's a clean and good hotel and the service is also great,,10.0,Belgium,Suite with Balcony,1,2022-08-01,Family,,25,0,57,0,10.0,No,3,5,1
Exceptional,It is a great accommodation with excellent value for money. In addition to being very well located near Larnaca airport and mckenzie beach. I fully recommend it. The staff extremely friendly.,Anything.,10.0,Honduras,Double Room with Balcony,1,2022-09-01,Solo,,25,0,191,9,10.0,No,3,5,1
Super,"Friendly staff, cleanliness, nice rooms",,10.0,Hungary,Two-Bedroom Suite,1,2022-09-01,Solo,,13,0,39,0,10.0,No,2,4,1
"Value for money, with a perspective of improvement for the good of the company!!!","Cleanliness/Towels: 10/10
Design/Furniture: 10/10
Staff: 10/10","Soundproofing: 07/10 (separated rooms with plasterboards)
Balcony furniture set: 08/10 (could refurbish these too)
Set of shampoo etc. for the bathroom: 08/10 (Could offer 1 to 1 for the pampering)",9.0,Cyprus,Double Room with Balcony,2,2022-09-01,Couple,,165,0,62,197,9.0,No,5,5,5
Exceptional,"Modern furnished and very clean room, friendly staff. Nice restaurant in the house, great coffee!
Close to the city center, the airport and the sea. Price/performance is totally right.",,10.0,Switzerland,Double Room,1,2022-09-01,Family,,25,0,184,0,10.0,No,3,5,1
Recommendation for a hotel close to the airport,"Location close to the airport and the promenade by the sea. Clean, tidy, comfortable and beautiful room. Courteous and welcoming service. We will return to him again.. Highly recommend.",We liked the rule,10.0,Israel,Double Room with Balcony,1,2022-09-01,Couple,,97,0,185,17,10.0,No,5,5,2
Lovely staff and the hotel looks very cozy and clean,"We stayed literally for a few hours, the welcome was pleasant and they helped us order a taxi to the airport!",,8.0,Israel,Double Room,1,2022-09-01,Solo,,107,0,109,0,8.0,No,5,5,1
A real lebanese tabbouleh all hearty i recommend the restaurant as much as the hotel,"We did not have breakfast because we were leaving very early, however the restaurant in the evening was perfect. The cook particularly affable fast and delicious irreproachable service. A real Lebanese tabbouleh all hearty I recommend the restaurant as much as the hotel",,10.0,France,Double Room,1,2022-09-01,Group,,171,0,270,0,10.0,No,5,5,1
Exceptional,"Nice facility, very nice and helpful staff.",,10.0,Poland,Budget Twin Room,1,2022-09-01,Solo,,25,0,43,0,10.0,No,3,5,1
Exceptional,"great stay. very clean. the staff is available and always helps
THANKS!",,10.0,France,Double Room,1,2022-09-01,Solo,,25,0,71,0,10.0,Yes,3,5,1
Very good,Very competent staff,,8.0,Switzerland,Two-Bedroom Suite,1,2022-09-01,Family,,21,0,20,0,8.0,No,3,2,1
Great stopover at the airport,Terrace was very cozy,It was very hot but that was the weather,8.0,Netherlands,Budget Twin Room,1,2022-09-01,Couple,,61,0,21,40,8.0,No,5,3,4
"All in all, a very inexpensive place to stay with very nice and courteous staff.","We arrived in the middle of the night and were able to get into the room via self-check-in without any problems.
Good location close to the airport - easily accessible by taxi, there is also a bus route nearby.","Rooms may be a bit small for a longer stay, but since we only stayed one night it wasn't a problem.",9.0,Austria,Double Room,1,2022-08-01,Couple,,163,0,210,99,9.0,No,5,5,5
Exceptional,The cleaning,,10.0,Italy,Double Room with Balcony,1,2022-09-01,Family,,25,0,12,0,10.0,No,3,2,1
Exceptional,"Location is very close to the beach, very kind staff on the last day kept our suitcases in custody for the whole day. Very close to the airport, like 8 minutes by car. Really soft bed and pillows",Room a little smaller than average but large bathroom and shower.,10.0,Italy,Double Room with Balcony,1,2022-08-01,Couple,,25,0,195,65,10.0,No,3,5,5
A pleasant discovery,"Strategic location: the property is close to both the airport and Mackenzie Beach. In fifteen minutes of walking along the sea you can also reach Finikoudes. Courteous and helpful staff, maximum cleanliness, excellent upholstery and modern furnishings.",,10.0,Italy,Double Room,6,2022-08-01,Solo,,43,0,252,0,10.0,No,5,5,1
Wonderful,"We had an early departing flight so there was no breakfast, but we had dinner in the restaurant and it was very good.",,9.0,Sweden,Double Room with Balcony,1,2022-08-01,Couple,,21,0,117,0,9.0,No,3,5,1
Very good,recently refurbished rooms.,Little parking nearby arriving in the evening,8.0,Italy,Budget Twin Room,1,2022-08-01,Group,,21,0,27,45,8.0,No,3,3,5
Exceptional,All. The sense of hospitality of the owner.,Nothing .,10.0,France,Standard Triple Room,3,2022-08-01,Couple,,25,0,43,9,10.0,No,3,5,1
"Very friendly staff, perfect clean room, very good value for money",We had dinner and it was perfect,Nothing to complain about,10.0,Germany,Double Room with Balcony,1,2022-08-01,Couple,,135,0,32,25,10.0,No,5,4,3
Exceptional,I really liked the location. Close to the lake and the beach. Very nice staff. Thank you very much for being able to move in earlier. Very clean new hotel,,10.0,Ukraine,Standard Triple Room,3,2022-08-01,Family,,25,0,154,0,10.0,No,3,5,1
Exceptional,quiet place,,10.0,Cyprus,Double Room with Balcony,1,2022-08-01,Solo,,25,0,11,0,10.0,No,3,2,1
Had a swimming pool,Arabic food,Have to pay for breakfast,10.0,Germany,Standard Triple Room,2,2022-08-01,Family,,41,0,11,25,10.0,No,5,2,3
Highly recommended,"Amazing team, thinks of all the details and happy to help. Our flight was delayed and they took care of us both for late check-in and for an electrical adapter",,10.0,Israel,Two-Bedroom Suite,1,2022-08-01,Family,,39,0,159,0,10.0,No,4,5,1
An excellent place for those looking for a good and pleasant place to rest their head before traveling to another city in cyprus. we received full value for the price. highly recommend!!,The rooms are big and very clean! There is also a balcony. Tony the hotel owner is a great man! Helped us with everything we needed,everything will be alright,10.0,Israel,Two-Bedroom Suite,1,2022-08-01,Family,,375,0,131,26,10.0,No,5,5,3
Our stay was flawless. we will come back again on a future occasion.,"A very welcoming staff, smiling and always available to satisfy you. At the reception as in the restaurant there is always someone to take care of you in one of the four languages ​​(Greek, English, French or Arabic). The proximity to the famous Mackenzie Beach is an asset for this charming hotel. The beach is around 5 minutes walk...",The hotel seems to have been freshened up recently. So everything seemed flawless to us.,10.0,Cyprus,Double Room with Balcony,3,2022-08-01,Couple,,139,0,336,88,10.0,No,5,5,5
A most charming hotel!!!,"We arrived at the hotel for one night in order to be close to Larnaca airport for an early morning flight. The rooms are pleasant, clean, the beds are comfortable, everything is new and clean!! We had a really nice time at this hotel",There is nothing we didn't like,10.0,Israel,Two-Bedroom Suite,1,2022-08-01,Family,,51,0,233,31,10.0,No,5,5,4
Wonderful,Comfortable room,,9.0,Cyprus,Double Room with Balcony,1,2022-08-01,Family,,21,0,16,0,9.0,No,3,2,1
Very good,very kind and welcoming structure ok for the sea,,8.0,Italy,Two-Bedroom Suite,2,2022-08-01,Group,,21,0,48,0,8.0,No,3,5,1
A pleasant and recommended hotel near larnaca airport,"We were received with a beautiful and kind hospitality by the hotel staff. Clean room, pleasant and comfortable bedding. There is a kettle and a fridge in the room. Close to Larnaca airport. Less than 10 minutes",Bed 5 could be opened and was less comfortable. Toilet and shower are together and less convenient.,9.0,Israel,Two-Bedroom Suite,1,2022-08-01,Family,,109,0,211,99,9.0,No,5,5,5
A restful place for those who have to fly early in the morning.,"Lovely and clean room, enough for a family with 3 children. Two rooms. The children's third bed was a bit problematic and not very stable. The location near the airport is convenient for those who need to fly early in the morning. There is also a shuttle to the field. There is a lovely promenade on the sea (McKenzie Beach) with worthwhile restaurants - very worth going in the evening. The staff is charming and kind, answers with a smile and agrees to every request. The restaurant in the hotel is also great.",There was a lack of a pool especially when from the window you can see the pool of the nearby hotel... but overall a good value for the price we paid.,9.0,Israel,Two-Bedroom Suite,1,2022-07-01,Family,,129,0,512,150,9.0,No,5,5,5
Very good,"Cleanliness first, but also the kindness of the staff.","The breakfast offered by an independent service does not correspond quantitatively and qualitatively to the known levels of Cypriot hospitality and gastronomy,
and the price of €12 for breakfast is much more expensive than the reasonable value (in terms of quality and quantity) of the offered product!",8.0,Cyprus,Budget Twin Room,1,2022-08-01,Family,,21,0,54,302,8.0,No,3,5,5
Alright,"explanation for arrival, cleanliness",Nothing,8.0,France,Standard Triple Room,1,2022-08-01,Family,,17,0,36,7,8.0,No,2,4,1
Everything perfect,everything,I liked everything,10.0,Germany,Double Room,1,2022-08-01,Couple,,39,0,10,18,10.0,No,4,1,2
Very good,Excellent location near the airport. Good for an overnight stay after a late or early morning flight.,"There was no hot water the two nights we slept there. And even when we complained, they said they took care of it and it wasn't taken care of.",8.0,Israel,Standard Triple Room,1,2022-08-01,Family,Thank you for your comments; actually there were a technical problem with the hot water in some rooms but we succeeded to fix it. we are sorry it happened in your room.,21,168,101,142,8.0,No,3,5,5
Very good,"cleanliness, kindness of the staff",Nothing,8.0,Italy,Double Room,1,2022-08-01,Couple,,21,0,34,7,8.0,No,3,4,1
Very good,"The room is really clean, close to Larnaca airport and it was really convenient to stop there because our flight landed in the middle of the night",The water in the bath is cold!!!!!! And that we were staying in the middle of August.. even David Shemesh was supposed to arrange boiling soup here,8.0,Israel,Double Room,1,2022-08-01,Couple,,21,0,146,147,8.0,No,3,5,5
Very good,"+ good location,
+ Hotel rooms are in good condition,
+ Hotel is not that big","- Room a bit small, no seating",8.0,Cyprus,Budget Twin Room,9,2022-08-01,Solo,,21,0,77,30,8.0,No,3,5,3
Very good,"We were just passing through before taking the plane but the hotel is located 500 meters from the beach and an area with restaurants, bars... the town center is a little further 30' on foot. 5' from the airport. Very nice hosts, very clean establishment.",,8.0,France,Double Room,1,2022-08-01,Couple,,21,0,254,0,8.0,No,3,5,1
Exceptional,"Very good breakfast, great location near MacKenzie beach. Staff very polite and helpful almost family atmosphere.",,10.0,Iceland,Standard Triple Room,1,2022-08-01,Family,,25,0,113,0,10.0,No,3,5,1
Ideal in case of late arrival at the airport before leaving for a seaside resort,"Location close to the airport
Kindness of staff
Staff speaks French",,8.0,Switzerland,Double Room,1,2022-08-01,Couple,,163,0,67,0,8.0,No,5,5,1
It was great close to the beach and the parties at night,"We liked everything, excellent service, they helped us with everything we needed.",,10.0,Israel,Suite with Balcony,1,2022-08-01,Group,,115,0,81,0,10.0,No,5,5,1
Great little hotel very close to mackenzie beach and the airport.,We only had drinks.,The taxi driver who picked us up for the short drive to the airport ripped us off. Be sure to negotiate the price beforehand. It's your own fault!,9.0,Germany,Double Room with Balcony,1,2022-08-01,Couple,,133,0,19,146,9.0,No,5,2,5
If i go to larnaca again i will definitely visit this hotel again,"Excellent location, 7 minutes walk from the boardwalk and the airport
The hotel staff is simply charming and kind!
The hotel was recently renovated, rooms are in new and clean condition
In addition, there is smart technology, there are electronic buttons to request cleaning for the room, a bell and remote control of the air conditioner if there is a problem.
They upgraded our room for free.
The hotel put us in touch with a taxi driver who took us to visit the mall and charged us decent prices.",.,10.0,Israel,Standard Triple Room,1,2022-08-01,Family,,133,0,498,1,10.0,No,5,5,1
Exceptional,friendly staff,,10.0,France,Double Room,1,2022-08-01,Couple,,25,0,14,0,10.0,No,3,2,1
,,,10.0,Israel,Two-Bedroom Suite,1,2022-08-01,Family,,0,0,0,0,10.0,No,1,1,1
Wonderful,a comfortable place. Quiet friendly staff. Quiet and spacious.,,9.0,Israel,Budget Twin Room,1,2022-07-01,Couple,,21,0,62,0,9.0,No,3,5,1
Wonderful,"Friendly people both at the reception and in the restaurant, willing to serve",The elevator. it needs more cleaning and maybe a complete renovation would be better.,9.0,Greece,Double Room with Balcony,2,2022-07-01,Solo,,21,0,77,85,9.0,No,3,5,5
Excellent hospitality and cleanliness,"the calm and comfort of the bedding, the balcony, the spacious room",the blue light on the balcony at night which interferes with sleeping open window,9.0,France,Double Room with Balcony,1,2022-07-01,Solo,,77,0,67,81,9.0,No,5,5,5
Exceptional,"Amazing team!!!
Helps with any question and problem... smiling and patient.
Changed us to a family room that we requested..
They gave us great recommendations for places in the city. Order taxis for us...help with car rental.
They even celebrated our daughter's birthday with a surprise..
In short, an experience",,10.0,Israel,Double Room,2,2022-07-01,Family,,25,0,312,0,10.0,No,3,5,1
Cheap and good,"Everything was excellent, personal attention",,10.0,Israel,Double Room,1,2022-07-01,Family,,31,0,44,0,10.0,No,4,5,1
Enjoy larnaka,"The restaurant service is very good, varied and with good prices, the workers are very pleasant and attentive.",The air conditioning had poor regulation... or cold (and directly to the body) or heat.,9.0,Spain,Two-Bedroom Suite,3,2022-07-01,Family,,29,0,110,87,9.0,No,3,5,5
"Perfect ! thank you for the welcoming
perfect ! thank you for the welcoming",All,Nothing,10.0,France,Double Room,1,2022-07-01,Couple,,75,0,3,7,10.0,No,5,1,1
Fantastic hotel for a practical overnight stay,"Good, firm beds and nice air conditioning in the room. We were especially impressed with the staff: they were very nice and prepared a fantastic breakfast for us! Self check-in at night was also very easy. And they arranged a taxi from the airport to the hotel for us, what a great service!","There was a bottle of water ready, that should have been two for 6 people. Everything else was to your liking!",9.0,Netherlands,Suite with Balcony,1,2022-07-01,Family,,95,0,290,110,9.0,No,5,5,5
"A pampering, clean hotel with a staff that cares about the guests",Hotel near airport about 10 minutes drive away,,10.0,Israel,Double Room with Balcony,1,2022-07-01,Couple,,133,0,46,0,10.0,No,5,5,1
Wonderful,Great place good staff worth the price,,9.0,Israel,Family Suite with Balcony,1,2022-07-01,Group,,21,0,38,0,9.0,No,3,4,1
"It was a pleasant stay, the staff were friendly, the cleanliness was exceptional, and the price was the lowest. i recommend everyone to book","Welcoming by the staff, super clean, location and price",Difficulty finding parking,10.0,Cyprus,Suite with Balcony,1,2022-07-01,Group,,283,0,55,26,10.0,No,5,5,3
Family stay,"The reception and availability of staff.
The comfort of the room and its layout.",,10.0,France,Family Suite with Balcony,4,2022-07-01,Family,,25,0,80,0,10.0,No,3,5,1
Very good,Room comfort.,Nothing.,8.0,Italy,Double Room with Balcony,1,2022-07-01,Solo,,21,0,13,8,8.0,No,3,2,1
Exceptional,A place that gives full value for the price. Good location. Excellent cleanliness. Professional staff. Excellent food,,10.0,Israel,Family Suite with Balcony,1,2022-07-01,Family,,25,0,117,0,10.0,No,3,5,1
Exceptional,"clean, quiet, well organized",,10.0,France,Two-Bedroom Suite,1,2022-07-01,Family,,25,0,28,0,10.0,No,3,3,1
Wonderful,Very accommodating and nice staff. Helpful. Top,,9.0,Germany,Double Room with Balcony,1,2022-07-01,Solo,,21,0,47,0,9.0,No,3,5,1
"Very good, i would definitely go there another time, i can recommend it to all my friends",the employees are nice - clean - close to the airport and the beach,,10.0,Hungary,Double Room with Balcony,2,2022-07-01,Couple,,181,0,67,0,10.0,No,5,5,1
Exceptional,Perfect for a stay in Larnaca. Everything was in order.,,10.0,Germany,Double Room,7,2022-04-01,Solo,,25,0,55,0,10.0,No,3,5,1
Very good,"Arrival at 5am, just for one night.
The owners left us clear and precise information for our arrival, sending us photos.
Cleanliness, distance from the airport, quality of bedding, size of the room, bottle of water available.
Sympathy of the owners in the morning who made the effort to speak French to us.
We recommend eyes closed.","Works next door, but unfortunately the owners can't do anything about it",8.0,France,Double Room with Balcony,1,2022-07-01,Couple,,21,0,332,72,8.0,No,3,5,5
Exceptional,"New hotel, everything is clean and fresh. We were interested in a hotel near the airport, it met our expectations!)",,10.0,Ukraine,Standard Triple Room,1,2022-07-01,Family,,25,0,115,0,10.0,No,3,5,1
Interesting surroundings and perfectly tolerable weather. it was a bit of a respite from the heat,Very varied breakfasts to choose from in the hotel restaurant.,There were no such elements,8.0,Poland,Double Room with Balcony,4,2022-06-01,Couple,,197,0,62,27,8.0,No,5,5,3
Pleasant,"cleanliness, comfort",,8.0,Cyprus,Family Suite with Balcony,1,2022-07-01,Group,,19,0,20,0,8.0,No,2,2,1
A beautiful experience.,"The dishes cooked to order are delicious, I recommend eating at Jasmine Garden.",🤫,8.0,Romania,Double Room with Balcony,7,2022-07-01,Couple,,49,0,79,1,8.0,No,5,5,1
Nice place,"Liked the hotel. Newly refurbished, clean and tidy. Nice welcoming staff. Kindly settled early. We had a delicious dinner at the hotel restaurant. There is a cozy courtyard. Parking.","Very uncomfortable folding bed, the child at night could not fall asleep with it. It is also quite noisy at night - you can hear airplanes and music from nightclubs, but I think this does not apply to the hotel, such a location, but it is close to the airport.",9.0,Montenegro,Standard Triple Room,1,2022-07-01,Family,,23,0,182,260,9.0,No,3,5,5
"Very good place to stay, a short distance from the airport and not far to walk down to the beach
very good place and store, short distance from the airport and not far to walk down to the beach","Pleasant staff, clean and tidy. Good food.",,10.0,Norway,Family Suite with Balcony,2,2022-07-01,Family,,193,0,42,0,10.0,No,5,5,1
Very good,"very clean cheap, modern room",Noisy outside,8.0,Canada,Double Room with Balcony,1,2022-06-01,Group,,21,0,29,13,8.0,No,3,3,2
Very good,"Excellent location, a few steps from the sea and from via dei premises, in 20 minutes on foot you can also reach the ""historic"" center.
Excellent breakfast and meals in the restaurant, all freshly made.
Modern and renovated rooms, very comfortable beds",Slightly small bathroom but still ok,8.0,Italy,Budget Twin Room,2,2022-06-01,Group,,21,0,252,36,8.0,No,3,5,4
Wonderful,"Clean, modern hotel, comfortable rooms.",,9.0,Israel,Two-Bedroom Suite,1,2022-06-01,Family,,21,0,39,0,9.0,Yes,3,4,1
Good option for 1-2 nights.,"Great transit hotel near the airport. The room is small but everything is new and very clean. Comfortable double bed and crisp white linen. Delicious breakfast in cafe, friendly staff. Side sea view. Parking.","Noise from a nightclub and not a comfortable cot, my 12 child was very cramped there.",8.0,Montenegro,Standard Triple Room,1,2022-06-01,Family,,57,0,208,85,8.0,Yes,5,5,5
Exceptional,Very nice and clean hotel. In an easy and quiet place. Not far from the beach. The staff was very nice and polite,,10.0,Cyprus,Double Room,1,2022-06-01,Couple,,25,0,113,0,10.0,No,3,5,1
